"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon May 12 11:36:52 GMT 2025","Mon May 12 11:36:52 GMT 2025","619","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [17] Chapter 5. Browser-Specific Manipulation, https://bonigarcia.dev/selenium-webdriver-java/geolocation.html, Geolocation",""
"broken","Mon May 12 11:36:54 GMT 2025","Mon May 12 11:36:55 GMT 2025","1611","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [19] Chapter 5. Browser-Specific Manipulation, https://bonigarcia.dev/selenium-webdriver-java/get-user-media.html, Get user media",""
"broken","Mon May 12 11:36:57 GMT 2025","Mon May 12 11:36:59 GMT 2025","1598","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [21] Chapter 5. Browser-Specific Manipulation, https://bonigarcia.dev/selenium-webdriver-java/console-logs.html, Console logs",""
"passed","Mon May 12 11:36:26 GMT 2025","Mon May 12 11:36:28 GMT 2025","2070","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [1] Chapter 3. WebDriver Fundamentals, https://bonigarcia.dev/selenium-webdriver-java/web-form.html, Web form",""
"broken","Mon May 12 11:37:16 GMT 2025","Mon May 12 11:37:17 GMT 2025","1604","","ui.HomePageTests","","ui.HomePageTests","checkTitleLinkedWithHomePageTest","checkTitleLinkedWithHomePageTest(String, String, String, String, boolean) [6] Chapter 3. WebDriver Fundamentals, https://bonigarcia.dev/selenium-webdriver-java/draw-in-canvas.html, Draw in canvas, Drawing in canvas, FALSE",""
"broken","Mon May 12 11:36:43 GMT 2025","Mon May 12 11:36:45 GMT 2025","1616","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [12] Chapter 4. Browser-Agnostic Features, https://bonigarcia.dev/selenium-webdriver-java/cookies.html, Cookies",""
"passed","Mon May 12 11:38:32 GMT 2025","Mon May 12 11:38:33 GMT 2025","504","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [8] Chapter 3. WebDriver Fundamentals",""
"broken","Mon May 12 11:37:19 GMT 2025","Mon May 12 11:37:20 GMT 2025","1640","","ui.HomePageTests","","ui.HomePageTests","checkTitleLinkedWithHomePageTest","checkTitleLinkedWithHomePageTest(String, String, String, String, boolean) [8] Chapter 3. WebDriver Fundamentals, https://bonigarcia.dev/selenium-webdriver-java/slow-calculator.html, Slow calculator, Slow calculator, FALSE",""
"broken","Mon May 12 11:38:10 GMT 2025","Mon May 12 11:38:11 GMT 2025","1595","","ui.HomePageTests","","ui.HomePageTests","getPageTitlesTest","getPageTitlesTest(String, String, String, String, boolean) [15] Chapter 4. Browser-Agnostic Features, https://bonigarcia.dev/selenium-webdriver-java/dialog-boxes.html, Dialog boxes, Dialog boxes, FALSE",""
"passed","Mon May 12 11:38:41 GMT 2025","Mon May 12 11:38:42 GMT 2025","492","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [26] Chapter 9. Third-Party Integrations",""
"passed","Mon May 12 11:38:01 GMT 2025","Mon May 12 11:38:02 GMT 2025","630","","ui.HomePageTests","","ui.HomePageTests","getPageTitlesTest","getPageTitlesTest(String, String, String, String, boolean) [9] Chapter 4. Browser-Agnostic Features, https://bonigarcia.dev/selenium-webdriver-java/long-page.html, Long page, This is a long page, FALSE",""
"broken","Mon May 12 11:37:07 GMT 2025","Mon May 12 11:37:08 GMT 2025","1588","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [27] Chapter 9. Third-Party Integrations, https://bonigarcia.dev/selenium-webdriver-java/data-types.html, Data types",""
"passed","Mon May 12 11:38:37 GMT 2025","Mon May 12 11:38:38 GMT 2025","498","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [18] Chapter 5. Browser-Specific Manipulation",""
"broken","Mon May 12 11:37:05 GMT 2025","Mon May 12 11:37:07 GMT 2025","1599","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [26] Chapter 9. Third-Party Integrations, https://bonigarcia.dev/selenium-webdriver-java/ab-testing.html, A/B Testing",""
"broken","Mon May 12 11:36:45 GMT 2025","Mon May 12 11:36:47 GMT 2025","1620","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [13] Chapter 4. Browser-Agnostic Features, https://bonigarcia.dev/selenium-webdriver-java/frames.html, Frames",""
"broken","Mon May 12 11:37:21 GMT 2025","Mon May 12 11:37:23 GMT 2025","1617","","ui.HomePageTests","","ui.HomePageTests","checkTitleLinkedWithHomePageTest","checkTitleLinkedWithHomePageTest(String, String, String, String, boolean) [10] Chapter 4. Browser-Agnostic Features, https://bonigarcia.dev/selenium-webdriver-java/infinite-scroll.html, Infinite scroll, Infinite scroll, FALSE",""
"passed","Mon May 12 11:38:34 GMT 2025","Mon May 12 11:38:34 GMT 2025","509","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [11] Chapter 4. Browser-Agnostic Features",""
"broken","Mon May 12 11:36:47 GMT 2025","Mon May 12 11:36:48 GMT 2025","1602","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [14] Chapter 4. Browser-Agnostic Features, https://bonigarcia.dev/selenium-webdriver-java/iframes.html, IFrames",""
"passed","Mon May 12 11:38:40 GMT 2025","Mon May 12 11:38:41 GMT 2025","506","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [24] Chapter 8. Testing Framework Specifics",""
"passed","Mon May 12 11:38:36 GMT 2025","Mon May 12 11:38:37 GMT 2025","502","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [16] Chapter 4. Browser-Agnostic Features",""
"broken","Mon May 12 11:36:28 GMT 2025","Mon May 12 11:36:29 GMT 2025","1665","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [2] Chapter 3. WebDriver Fundamentals, https://bonigarcia.dev/selenium-webdriver-java/navigation1.html, Navigation",""
"passed","Mon May 12 11:38:42 GMT 2025","Mon May 12 11:38:42 GMT 2025","493","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [27] Chapter 9. Third-Party Integrations",""
"broken","Mon May 12 11:37:36 GMT 2025","Mon May 12 11:37:38 GMT 2025","1620","","ui.HomePageTests","","ui.HomePageTests","checkTitleLinkedWithHomePageTest","checkTitleLinkedWithHomePageTest(String, String, String, String, boolean) [20] Chapter 5. Browser-Specific Manipulation, https://bonigarcia.dev/selenium-webdriver-java/multilanguage.html, Multilanguage, Multilanguage page, FALSE",""
"passed","Mon May 12 11:37:33 GMT 2025","Mon May 12 11:37:33 GMT 2025","646","","ui.HomePageTests","","ui.HomePageTests","checkTitleLinkedWithHomePageTest","checkTitleLinkedWithHomePageTest(String, String, String, String, boolean) [17] Chapter 5. Browser-Specific Manipulation, https://bonigarcia.dev/selenium-webdriver-java/geolocation.html, Geolocation, Geolocation, FALSE",""
"broken","Mon May 12 11:36:29 GMT 2025","Mon May 12 11:36:31 GMT 2025","1690","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [3] Chapter 3. WebDriver Fundamentals, https://bonigarcia.dev/selenium-webdriver-java/dropdown-menu.html, Dropdown menu",""
"passed","Mon May 12 11:38:38 GMT 2025","Mon May 12 11:38:38 GMT 2025","529","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [19] Chapter 5. Browser-Specific Manipulation",""
"broken","Mon May 12 11:38:14 GMT 2025","Mon May 12 11:38:15 GMT 2025","1602","","ui.HomePageTests","","ui.HomePageTests","getPageTitlesTest","getPageTitlesTest(String, String, String, String, boolean) [18] Chapter 5. Browser-Specific Manipulation, https://bonigarcia.dev/selenium-webdriver-java/notifications.html, Notifications, Notifications, FALSE",""
"passed","Mon May 12 11:38:13 GMT 2025","Mon May 12 11:38:14 GMT 2025","642","","ui.HomePageTests","","ui.HomePageTests","getPageTitlesTest","getPageTitlesTest(String, String, String, String, boolean) [17] Chapter 5. Browser-Specific Manipulation, https://bonigarcia.dev/selenium-webdriver-java/geolocation.html, Geolocation, Geolocation, FALSE",""
"broken","Mon May 12 11:36:59 GMT 2025","Mon May 12 11:37:00 GMT 2025","1584","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [22] Chapter 7. The Page Object Model (POM), https://bonigarcia.dev/selenium-webdriver-java/login-form.html, Login form",""
"broken","Mon May 12 11:37:48 GMT 2025","Mon May 12 11:37:49 GMT 2025","1578","","ui.HomePageTests","","ui.HomePageTests","checkTitleLinkedWithHomePageTest","checkTitleLinkedWithHomePageTest(String, String, String, String, boolean) [27] Chapter 9. Third-Party Integrations, https://bonigarcia.dev/selenium-webdriver-java/data-types.html, Data types, Data types, FALSE",""
"passed","Mon May 12 11:38:30 GMT 2025","Mon May 12 11:38:30 GMT 2025","512","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [3] Chapter 3. WebDriver Fundamentals",""
"broken","Mon May 12 11:38:11 GMT 2025","Mon May 12 11:38:13 GMT 2025","1591","","ui.HomePageTests","","ui.HomePageTests","getPageTitlesTest","getPageTitlesTest(String, String, String, String, boolean) [16] Chapter 4. Browser-Agnostic Features, https://bonigarcia.dev/selenium-webdriver-java/web-storage.html, Web storage, Web storage, FALSE",""
"passed","Mon May 12 11:38:34 GMT 2025","Mon May 12 11:38:35 GMT 2025","497","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [12] Chapter 4. Browser-Agnostic Features",""
"passed","Mon May 12 11:38:41 GMT 2025","Mon May 12 11:38:41 GMT 2025","518","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [25] Chapter 9. Third-Party Integrations",""
"broken","Mon May 12 11:36:40 GMT 2025","Mon May 12 11:36:42 GMT 2025","1636","","ui.HomePageTests","","ui.HomePageTests","checkHomePageLinksTest","checkHomePageLinksTest(String, String, String) [10] Chapter 4. Browser-Agnostic Features, https://bonigarcia.dev/selenium-webdriver-java/infinite-scroll.html, Infinite scroll",""
"broken","Mon May 12 11:37:50 GMT 2025","Mon May 12 11:37:52 GMT 2025","1597","","ui.HomePageTests","","ui.HomePageTests","getPageTitlesTest","getPageTitlesTest(String, String, String, String, boolean) [2] Chapter 3. WebDriver Fundamentals, https://bonigarcia.dev/selenium-webdriver-java/navigation1.html, Navigation, Navigation example, FALSE",""
"broken","Mon May 12 11:38:17 GMT 2025","Mon May 12 11:38:19 GMT 2025","1588","","ui.HomePageTests","","ui.HomePageTests","getPageTitlesTest","getPageTitlesTest(String, String, String, String, boolean) [21] Chapter 5. Browser-Specific Manipulation, https://bonigarcia.dev/selenium-webdriver-java/console-logs.html, Console logs, Console logs, FALSE",""
"passed","Mon May 12 11:38:37 GMT 2025","Mon May 12 11:38:37 GMT 2025","509","","ui.HomePageTests","","ui.HomePageTests","checkChapterTitlesTest","checkChapterTitlesTest(String) [17] Chapter 5. Browser-Specific Manipulation",""
"broken","Mon May 12 11:37:46 GMT 2025","Mon May 12 11:37:48 GMT 2025","1608","","ui.HomePageTests","","ui.HomePageTests","checkTitleLinkedWithHomePageTest","checkTitleLinkedWithHomePageTest(String, String, String, String, boolean) [26] Chapter 9. Third-Party Integrations, https://bonigarcia.dev/selenium-webdriver-java/ab-testing.html, A/B Testing, A/B Testing, FALSE",""
